Tipologia intervento,Tipologia di collettori,Utilizzo,N,Marca,Modello,Area AG [m2],Area Aa [m2],Energia Qcol (50°C) [kWht/anno],Energia Qcol (75°C) [kWht/anno],Energia Qsol (50°C) [kWht/anno],Energia Qsol (75°C) [kWht/anno],Energia Qsol (150°C) [kWht/anno],Energia QL [MJ/anno],Producibilità Specifica requisiti d'accesso [kWht/m2anno]
"2.C,sottovuoto,Solo riscaldamento,,RITTER ENERGIE,AQUA PLASMA 19/50,""5,01"",,""3372,00"",""3052,00"",,,,,""673,05"""
"2.C,Sottovuoto,Solo ACS,,RITTER ENERGIE,CSO 21,""2,38"",,1201,1004,,,,,""504,00"""
"2.C,Sottovuoto,ACS e riscaldamento,,RITTER ENERGIE,CSO 21,""2,38"",,1201,1004,,,,,""504,00"""
"2.C,Sottovuoto,Solo riscaldamento,,RITTER ENERGIE,CSO 21,""2,38"",,1201,1004,,,,,""504,00"""
"2.C,Sottovuoto,Solo ACS,,RITTER ENERGIE,STAR 15/26,""2,63"",,1544,1333,,,,,""587,00"""
"2.C,Sottovuoto,ACS e riscaldamento,,RITTER ENERGIE,STAR 15/26,""2,63"",,1544,1333,,,,,""587,00"""
"2.C,Sottovuoto,Solo riscaldamento,,RITTER ENERGIE,STAR 15/26,""2,63"",,1544,1333,,,,,""587,00"""
"2.C,Sottovuoto,Solo ACS,,RITTER ENERGIE,STAR 15/39,""3,93"",,2313,1997,,,,,""588,00"""
"2.C,Sottovuoto,ACS e riscaldamento,,RITTER ENERGIE,STAR 15/39,""3,93"",,2313,1997,,,,,""588,00"""
"2.C,Sottovuoto,Solo riscaldamento,,RITTER ENERGIE,STAR 15/39,""3,93"",,2313,1997,,,,,""588,00"""
"2.C,Sottovuoto,Solo ACS,,RITTER ENERGIE,STAR 19/33,""3,31"",,1988,1717,,,,,""600,00"""
"2.C,Sottovuoto,ACS e riscaldamento,,RITTER ENERGIE,STAR 19/33,""3,31"",,1988,1717,,,,,""600,00"""
"2.C,Sottovuoto,Solo riscaldamento,,RITTER ENERGIE,STAR 19/33,""3,31"",,1988,1717,,,,,""600,00"""
"2.C,Sottovuoto,Solo ACS,,RITTER ENERGIE,STAR 19/49,""4,94"",,2982,2575,,,,,""603,00"""
"2.C,Sottovuoto,ACS e riscaldamento,,RITTER ENERGIE,STAR 19/49,""4,94"",,2982,2575,,,,,""603,00"""
"2.C,Sottovuoto,Solo riscaldamento,,RITTER ENERGIE,STAR 19/49,""4,94"",,2982,2575,,,,,""603,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SIME,SIME NATURAL 160 S,""2,09"",""1,88"",,,,,,3942,""582,45"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SIME,SIME NATURAL 160 S LP,""2,09"",""1,88"",,,,,,3942,""582,45"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SIME,SIME NATURAL 200 S,""2,60"",""2,37"",,,,,,4889,""573,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SIME,SIME NATURAL 200 S LP,""2,60"",""2,37"",,,,,,4889,""573,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SIME,SIME NATURAL 300/5.2 S,""2,60"",""2,37"",,,,,,8230,""482,28"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SIME,SIME NATURAL 300/5.2 S LP,""2,60"",""2,37"",,,,,,8230,""482,28"""
"2.C,Piani,Solo ACS,,SIME,SIMESOL 182,""2,03"",""1,82"",801,446,,,,,""394,58"""
"2.C,Piani,ACS e riscaldamento,,SIME,SIMESOL 182,""2,03"",""1,82"",801,446,,,,,""394,58"""
"2.C,Piani,Solo riscaldamento,,SIME,SIMESOL 182,""2,03"",""1,82"",801,446,,,,,""394,58"""
"2.C,Piani,Solo ACS,,SIME,SIMESOL 230,""2,53"",""2,33"",998,556,,,,,""394,47"""
"2.C,Piani,ACS e riscaldamento,,SIME,SIMESOL 230,""2,53"",""2,33"",998,556,,,,,""394,47"""
"2.C,Piani,Solo riscaldamento,,SIME,SIMESOL 230,""2,53"",""2,33"",998,556,,,,,""394,47"""
"2.C,Piani,Solo ACS,,SIME,SIMESOL HRZ 182,""2,03"",""1,84"",819,422,,,,,""403,45"""
"2.C,Piani,ACS e riscaldamento,,SIME,SIMESOL HRZ 182,""2,03"",""1,84"",819,422,,,,,""403,45"""
"2.C,Piani,Solo riscaldamento,,SIME,SIMESOL HRZ 182,""2,03"",""1,84"",819,422,,,,,""403,45"""
"2.C,A concentrazione,Solo ACS,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,ACS e riscaldamento,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,Solo riscaldamento,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,solar cooling a bassa temperatura,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,solar cooling a media temperatura,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,Calore di processo a bassa temperatura,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,A concentrazione,Calore di processo a media temperatura,,SONDAG ENERGY,Diamond SKY 50,""49,94"",""47,80"",,,59008,56805,49351,,""1181,00"""
"2.C,sottovuoto,ACS e riscaldamento,,STELBI S.P.A.,COLLETTORE SOLARE SUNSTAR AV DF10,""2,38"",""2,09"",""1585,00"",""1357,00"",,,,,""665,97"""
"2.C,Piani,Solo ACS,,Sunerg Solar,BLUH+,""1,96"",,963,594,,,,,""491,33"""
"2.C,Piani,ACS e riscaldamento,,Sunerg Solar,BLUH+,""1,96"",,963,594,,,,,""491,33"""
"2.C,Piani,Solo ACS,,Sunerg Solar,BLUHX+,""2,52"",,1419,949,,,,,""563,10"""
"2.C,Piani,ACS e riscaldamento,,Sunerg Solar,BLUHX+,""2,52"",,1419,949,,,,,""563,10"""
"2.C,sottovuoto,Solo ACS,,Sunerg Solar,HV12,""2,17"",,1149,965,,,,,""529,49"""
"2.C,sottovuoto,ACS e riscaldamento,,Sunerg Solar,HV12,""2,17"",,1149,965,,,,,""529,49"""
"2.C,Piani,Solo ACS,,Sunerg Solar,SLIM+,""2,02"",,1010,646,,,,,""500,00"""
"2.C,Piani,ACS e riscaldamento,,Sunerg Solar,SLIM+,""2,02"",,1010,646,,,,,""500,00"""
"2.C,Piani,Solo ACS,,Sunerg Solar,SLIMX+,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,ACS e riscaldamento,,Sunerg Solar,SLIMX+,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,Solo ACS,,Sunerg Solar,SLIMXL+,""2,92"",,1461,933,,,,,""500,34"""
"2.C,Piani,ACS e riscaldamento,,Sunerg Solar,SLIMXL+,""2,92"",,1461,933,,,,,""500,34"""
"2.C,Piani,Solo ACS,,SYLBER,CFS 20/4 A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,ACS e riscaldamento,,SYLBER,CFS 20/4 A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,Solo riscaldamento,,SYLBER,CFS 20/4 A,""2,00"",""1,91"",947,522,,,,,""473,00"""
"2.C,Piani,Solo ACS,,SYLBER,CFS 25/4 A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
"2.C,Piani,ACS e riscaldamento,,SYLBER,CFS 25/4 A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
"2.C,Piani,Solo riscaldamento,,SYLBER,CFS 25/4 A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
"2.C,Piani,Solo ACS,,SYLBER,CFS20 (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,ACS e riscaldamento,,SYLBER,CFS20 (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,Solo riscaldamento,,SYLBER,CFS20 (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,Solo ACS,,SYLBER,CFS25 (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,ACS e riscaldamento,,SYLBER,CFS25 (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,Solo riscaldamento,,SYLBER,CFS25 (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,Solo ACS,,SYLBER,CFS-25/4,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Piani,ACS e riscaldamento,,SYLBER,CFS-25/4,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Piani,Solo riscaldamento,,SYLBER,CFS-25/4,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,SN 150/1 TI,""1,89"",""1,77"",,,,,,3603,""565,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,SN 150/1 TP,""1,89"",""1,77"",,,,,,3603,""565,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,SN 200/1 TI,""1,89"",""1,77"",,,,,,3731,""585,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,SN 200/1 TP,""1,89"",""1,77"",,,,,,3731,""585,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN 220/2 TI,""1,89"",""1,77"",,,,,,5613,""440,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN 220/2 TP,""1,89"",""1,77"",,,,,,5613,""440,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN 300/2 TI,""1,89"",""1,77"",,,,,,6472,""507,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN 300/2 TP,""1,89"",""1,77"",,,,,,6472,""507,00"""
"2.C,Impianti solari termici factory made,Solo ACS,3,SYLBER,SN 300/3 TI,""1,89"",""1,77"",,,,,,8459,""442,00"""
"2.C,Impianti solari termici factory made,Solo ACS,3,SYLBER,SN 300/3 TP,""1,89"",""1,77"",,,,,,8459,""442,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,""SN-A 160/2,5 TI"",""2,50"",""2,39"",,,,,,4163,""483,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,""SN-A 160/2,5 TP"",""2,50"",""2,39"",,,,,,4163,""483,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,""SN-A 200/2,5 TI"",""2,50"",""2,39"",,,,,,5140,""597,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,SYLBER,""SN-A 200/2,5 TP"",""2,50"",""2,39"",,,,,,5140,""597,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 200/4 TI,""2,00"",""1,91"",,,,,,6181,""449,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 200/4 TP,""2,00"",""1,91"",,,,,,6181,""449,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 300/4 TI,""2,00"",""1,91"",,,,,,8105,""589,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 300/4 TP,""2,00"",""1,91"",,,,,,8105,""589,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 300/5 TI,""2,50"",""2,39"",,,,,,8862,""514,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,SYLBER,SN-A 300/5 TP,""2,50"",""2,39"",,,,,,8862,""514,00"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM classic VFK 135/3 D,""2,51"",,1146,677,,,,,""456,57"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM classic VFK 135/3 VD,""2,51"",,1146,677,,,,,""456,57"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM classic VFK 140/3 VD,""2,51"",,""1281,00"",""773,00"",,,,,""510,36"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM plus VFK 155/2 H,""2,51"",,1242,742,,,,,""494,82"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM plus VFK 155/2 V,""2,51"",,1242,742,,,,,""494,82"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM pro VFK 125/4,""2,51"",,1010,542,,,,,""402,39"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM VFK 145/3 H,""2,51"",,1166,672,,,,,""464,54"""
"2.C,Piani,ACS e riscaldamento,,Vaillant,auroTHERM VFK 145/3 V,""2,51"",,1166,672,,,,,""464,54"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 100-FM SH1F,""2,51"",,975,438,,,,,""388,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 100-FM SH1F,""2,51"",,975,438,,,,,""388,00"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 100-FM SV1F,""2,51"",,954,441,,,,,""380,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 100-FM SV1F,""2,51"",,954,441,,,,,""380,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,Viessmann,Vitosol 111-F TS1 (150 LT.),""2,18"",""2,02"",,,,,,3753,""516,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,Viessmann,Vitosol 111-F TS1 (200 LT.),""2,18"",""2,02"",,,,,,4510,""620,00"""
"2.C,impianti solari termici factory made,Solo ACS,2,Viessmann,Vitosol 111-F TS1 (300 LT.),""2,18"",""2,02"",,,,,,8105,""557,00"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 200-F SVE,""2,50"",,1208,693,,,,,""483,20"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 200-F SVE,""2,50"",,1208,693,,,,,""483,20"""
"2.C,Piani,solar cooling a bassa temperatura,,Viessmann,Vitosol 200-F SVE,""2,50"",,1208,693,,,,,""483,20"""
"2.C,Piani,calore di processo a bassa temperatura,,Viessmann,Vitosol 200-F SVE,""2,50"",,1208,693,,,,,""483,20"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 200-FM SH2F,""2,51"",,952,407,,,,,""379,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 200-FM SH2F,""2,51"",,952,407,,,,,""379,00"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 200-FM SH2G,""2,56"",,986,420,,,,,""385,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 200-FM SH2G,""2,56"",,986,420,,,,,""385,00"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 200-FM SV2F,""2,51"",,1010,431,,,,,""402,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 200-FM SV2F,""2,51"",,1010,431,,,,,""402,00"""
"2.C,Piani,Solo ACS,,Viessmann,Vitosol 200-FM SV2G,""2,56"",,1008,430,,,,,""393,00"""
"2.C,Piani,ACS e riscaldamento,,Viessmann,Vitosol 200-FM SV2G,""2,56"",,1008,430,,,,,""393,00"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,Vitosol 200-T SPX-F,""5,05"",,2960,2450,,,,,""586,00"""
"2.C,sottovuoto,Solo riscaldamento,,Viessmann,Vitosol 200-T SPX-F,""5,05"",,2960,2450,,,,,""586,00"""
"2.C,sottovuoto,solar cooling a bassa temperatura,,Viessmann,Vitosol 200-T SPX-F,""5,05"",,2960,2450,,,,,""586,00"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,Vitosol 200-T SPX-S,""5,05"",,3072,2559,,,,,""608,00"""
"2.C,sottovuoto,Solo riscaldamento,,Viessmann,Vitosol 200-T SPX-S,""5,05"",,3072,2559,,,,,""608,00"""
"2.C,sottovuoto,solar cooling a bassa temperatura,,Viessmann,Vitosol 200-T SPX-S,""5,05"",,3072,2559,,,,,""608,00"""
"2.C,sottovuoto,Solo ACS,,Viessmann,""Vitosol 200-TM SPEA 1,63 m2"",""2,67"",,1132,890,,,,,""423,97"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,""Vitosol 200-TM SPEA 1,63 m2"",""2,67"",,1132,890,,,,,""423,97"""
"2.C,sottovuoto,solar cooling a bassa temperatura,,Viessmann,""Vitosol 200-TM SPEA 1,63 m2"",""2,67"",,1132,890,,,,,""423,97"""
"2.C,sottovuoto,calore di processo a bassa temperatura,,Viessmann,""Vitosol 200-TM SPEA 1,63 m2"",""2,67"",,1132,890,,,,,""423,97"""
"2.C,sottovuoto,Solo ACS,,Viessmann,""Vitosol 200-TM SPEA 3,26 m2"",""5,30"",,2358,1879,,,,,""444,90"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,""Vitosol 200-TM SPEA 3,26 m2"",""5,30"",,2358,1879,,,,,""444,90"""
"2.C,sottovuoto,solar cooling a bassa temperatura,,Viessmann,""Vitosol 200-TM SPEA 3,26 m2"",""5,30"",,2358,1879,,,,,""444,90"""
"2.C,sottovuoto,calore di processo a bassa temperatura,,Viessmann,""Vitosol 200-TM SPEA 3,26 m2"",""5,30"",,2358,1879,,,,,""444,90"""
"2.C,sottovuoto,Solo ACS,,Viessmann,""Vitosol 300-TM SP3C 1,25 m2 HW"",""1,98"",,829,552,,,,,""418,68"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,""Vitosol 300-TM SP3C 1,25 m2 HW"",""1,98"",,829,552,,,,,""418,68"""
"2.C,sottovuoto,Solo ACS,,Viessmann,""Vitosol 300-TM SP3C 1,51 m2"",""2,36"",,1028,792,,,,,""435,60"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,""Vitosol 300-TM SP3C 1,51 m2"",""2,36"",,1028,792,,,,,""435,60"""
"2.C,sottovuoto,Solo ACS,,Viessmann,""Vitosol 300-TM SP3C 3,03 m2"",""4,61"",,2162,1689,,,,,""468,90"""
"2.C,sottovuoto,ACS e riscaldamento,,Viessmann,""Vitosol 300-TM SP3C 3,03 m2"",""4,61"",,2162,1689,,,,,""468,90"""
"2.C,Piani,ACS e riscaldamento,,WEISHAUPT ITALIA,WTS-F2 K5,""2,51"",,1162,588,,,,,""462,94"""
"2.C,Piani,ACS e riscaldamento,,WEISHAUPT ITALIA,WTS-F2 K6,""2,51"",,1162,588,,,,,""462,94"""
"2.C,Piani,ACS e riscaldamento,1,Wolf,CFK-1,""2,30"",""2,12"",887,513,,,,,""385,65"""
"2.C,Piani,ACS e riscaldamento,1,Wolf,TopSon F3-1,""2,30"",""2,00"",1048,627,,,,,""455,65"""